6-digit activity code,Activity,Examples,,,,,,,,,,,,,,,,,,,,,,,
010101,Sleeping,,,,,,,,,,,,,,,,,,,,,,,,
,,filling salt/pepper/sugar,,,,,,,,,,,,,,,,,,,,,,,
020203,Kitchen and food clean-up,,,,,,,,,,,,,,,,,,,,,,,,
,,cleaning up after a meal/clearing the table,cleaning oven/stove/barbecue grill,,,,,,,,,,,,,,,,,,,,,,
,,loading the dishwasher/emptying dishwasher,cleaning high chair,,,,,,,,,,,,,,,,,,,,,,
,,washing/drying dishes,cleaning up plates and food,,,,,,,,,,,,,,,,,,,,,,
,,putting leftovers away,wiping table,,,,,,,,,,,,,,,,,,,,,,
,,cleaning up the kitchen only,rinsing dishes/washing pots and pans,,,,,,,,,,,,,,,,,,,,,,
,,cleaning kitchen cupboard,putting dishes away,,,,,,,,,,,,,,,,,,,,,,
,,cleaning freezer/defrosting freezer,throwing away leftovers,,,,,,,,,,,,,,,,,,,,,,
,,cleaning refrigerator,mopping the kitchen floor,,,,,,,,,,,,,,,,,,,,,,
,,cleaning microwave oven,,,,,,,,,,,,,,,,,,,,,,,
020299,"Food & drink prep, presentation, & clean-up, n.e.c.* ",,,,,,,,,,,,,,,,,,,,,,,,
020301,"Interior arrangement, decoration, & repairs",,,,,,,,,,,,,,,,,,,,,,,,
,,decorating,fumigating house,,,,,,,,,,,,,,,,,,,,,,
,,moving/rearranging furniture,measuring windows for curtains,,,,,,,,,,,,,,,,,,,,,,
,,hanging pictures,making plumbing improvements,,,,,,,,,,,,,,,,,,,,,,
,,hanging curtains/wallpaper,stripping paint,,,,,,,,,,,,,,,,,,,,,,
,,painting,stripping wallpaper,,,,,,,,,,,,,,,,,,,,,,
,,laying linoleum/tile/wood floors,installing carpet,,,,,,,,,,,,,,,,,,,,,,
,,refitting kitchen/bathroom,hanging blinds/shades,,,,,,,,,,,,,,,,,,,,,,
,,remodeling interior of house,taking down towel bars,,,,,,,,,,,,,,,,,,,,,,
,,fixing leaks,decorating the Christmas tree,,,,,,,,,,,,,,,,,,,,,,
,,plastering,carving jack-o-lanterns,,,,,,,,,,,,,,,,,,,,,,
,,putting up shelves,setting up a manger (inside),,,,,,,,,,,,,,,,,,,,,,
,,replacing fuses,hanging Christmas stockings,,,,,,,,,,,,,,,,,,,,,,
,,changing light bulbs,putting up Christmas decorations (inside),,,,,,,,,,,,,,,,,,,,,,
,,putting up Christmas lights (inside),setting up menorah candles (inside),,,,,,,,,,,,,,,,,,,,,,
,,setting mousetraps,,,,,,,,,,,,,,,,,,,,,,,
020302,Building and repairing furniture,,,,,,,,,,,,,,,,,,,,,,,,
,,making furniture,making cabinets,,,,,,,,,,,,,,,,,,,,,,
,,refinishing furniture,stripping furniture,,,,,,,,,,,,,,,,,,,,,,
,,reupholstering furniture,sanding wood furniture,,,,,,,,,,,,,,,,,,,,,,
,,refinishing wood furniture,staining wood furniture,,,,,,,,,,,,,,,,,,,,,,
,,repairs to furniture,changing cabinet hardware,,,,,,,,,,,,,,,,,,,,,,
,,painting furniture,assembling furniture,,,,,,,,,,,,,,,,,,,,,,
020303,Heating and cooling,,,,,,,,,,,,,,,,,,,,,,,,
,,chopping wood,collecting wood,,,,,,,,,,,,,,,,,,,,,,
,,lighting fireplace,stacking firewood,,,,,,,,,,,,,,,,,,,,,,
,,bringing in wood/kindling,setting the fire,,,,,,,,,,,,,,,,,,,,,,
,,shoveling coal,installing wood burning stove,,,,,,,,,,,,,,,,,,,,,,
,,filling heater with fuel,installing fireplace,,,,,,,,,,,,,,,,,,,,,,
,,installing window AC unit,opening/closing windows,,,,,,,,,,,,,,,,,,,,,,
,,changing furnace filter,,,,,,,,,,,,,,,,,,,,,,,
020399,"Interior maintenance, repair, & decoration, n.e.c.* ",,,,,,,,,,,,,,,,,,,,,,,,
020401,Exterior cleaning,,,,,,,,,,,,,,,,,,,,,,,,
,,sweeping deck/patio/porch,cleaning shed,,,,,,,,,,,,,,,,,,,,,,
,,sweeping steps,sweeping garage,,,,,,,,,,,,,,,,,,,,,,
,,shoveling snow,cleaning chimney,,,,,,,,,,,,,,,,,,,,,,
,,removing ice from walkways,washing outside windows,,,,,,,,,,,,,,,,,,,,,,
,,putting away yard equipment,picking up trash that blew into yard,,,,,,,,,,,,,,,,,,,,,,
,,putting away bicycles,sweeping sidewalk,,,,,,,,,,,,,,,,,,,,,,
,,cleaning gutters,putting away outside toys,,,,,,,,,,,,,,,,,,,,,,
,,cleaning garage,,,,,,,,,,,,,,,,,,,,,,,
020402,"Exterior repair, improvements, & decoration",,,,,,,,,,,,,,,,,,,,,,,,
,,painting/staining porch/deck,painting house exterior,,,,,,,,,,,,,,,,,,,,,,
,,fixing the roof,fixing mailbox,,,,,,,,,,,,,,,,,,,,,,
,,fixing broken windows,staining house exterior,,,,,,,,,,,,,,,,,,,,,,
,,replacing screens,fixing weatherboards,,,,,,,,,,,,,,,,,,,,,,
,,building a deck,fixing bird feeder,,,,,,,,,,,,,,,,,,,,,,
,,building a garage/carport,building a fence,,,,,,,,,,,,,,,,,,,,,,
,,building a shed,painting or staining fence,,,,,,,,,,,,,,,,,,,,,,
,,putting new roof on house,putting new roof on garage,,,,,,,,,,,,,,,,,,,,,,
,,adding another room to house,setting up garden furniture,,,,,,,,,,,,,,,,,,,,,,
,,screening in a porch,decorating outside for holidays,,,,,,,,,,,,,,,,,,,,,,
,,installing a gate or fence,hanging flags,,,,,,,,,,,,,,,,,,,,,,
,,paving or blacktopping,hanging address numbers,,,,,,,,,,,,,,,,,,,,,,
,,making structural additions,working on boat lift,,,,,,,,,,,,,,,,,,,,,,
,,hanging outdoor lights,repairing boat dock,,,,,,,,,,,,,,,,,,,,,,
,,decorating outside for parties,hanging up wind chimes,,,,,,,,,,,,,,,,,,,,,,
,,putting up outdoor holiday decorations,repairing wind chimes,,,,,,,,,,,,,,,,,,,,,,
,,putting up Christmas lights (outside),putting up Christmas decorations (outside),,,,,,,,,,,,,,,,,,,,,,
020499,"Exterior maintenance, repair & decoration, n.e.c.*",,,,,,,,,,,,,,,,,,,,,,,,
020501,"Lawn, garden, and houseplant care",,,,,,,,,,,,,,,,,,,,,,,,
,,applying pesticides,picking fruit and vegetables,,,,,,,,,,,,,,,,,,,,,,
,,spraying for bugs,gathering nuts,,,,,,,,,,,,,,,,,,,,,,
,,gardening,"collecting eggs, honey",,,,,,,,,,,,,,,,,,,,,,
,,doing yard work,planting tomatoes,,,,,,,,,,,,,,,,,,,,,,
,,trimming branches/hedges,digging in the vegetable garden,,,,,,,,,,,,,,,,,,,,,,
,,pruning shrubs/flowers,laying paving stones,,,,,,,,,,,,,,,,,,,,,,
,,"picking up branches, twigs",fertilizing garden,,,,,,,,,,,,,,,,,,,,,,
,,raking leaves,planting beans,,,,,,,,,,,,,,,,,,,,,,
,,blowing leaves,planting fruit tree,,,,,,,,,,,,,,,,,,,,,,
,,planting,pruning tree,,,,,,,,,,,,,,,,,,,,,,
,,mulching,putting snail killer around vegetables,,,,,,,,,,,,,,,,,,,,,,
,,watering houseplants,sowing flower or vegetable seeds,,,,,,,,,,,,,,,,,,,,,,
,,weeding,spraying fruit trees,,,,,,,,,,,,,,,,,,,,,,
,,cutting the grass,spraying rose bushes,,,,,,,,,,,,,,,,,,,,,,
,,mowing the lawn,tying up tomatoes,,,,,,,,,,,,,,,,,,,,,,
,,edging,putting pesticides on lawn,,,,,,,,,,,,,,,,,,,,,,
,,adding chemicals to lawn,turning sprinkler on or off,,,,,,,,,,,,,,,,,,,,,,
,,fertilizing the lawn,watering outdoor plants,,,,,,,,,,,,,,,,,,,,,,
,,spreading mulch,hunting mushrooms,,,,,,,,,,,,,,,,,,,,,,
,,watering lawn/garden,weeding vegetable garden,,,,,,,,,,,,,,,,,,,,,,
,,seeding,weeding flower garden,,,,,,,,,,,,,,,,,,,,,,
,,planting fruit and vegetables,,,,,,,,,,,,,,,,,,,,,,,
020502,"Ponds, pools, and hot tubs",,,,,,,,,,,,,,,,,,,,,,,,
,,adding chemicals to pool,draining pool,,,,,,,,,,,,,,,,,,,,,,
,,chlorinating the pool,filling the pool,,,,,,,,,,,,,,,,,,,,,,
,,"cleaning the pond, pool, hot tub",adding chemicals to hot tub,,,,,,,,,,,,,,,,,,,,,,
,,"putting in a pond, pool, hot tub",testing ph in water,,,,,,,,,,,,,,,,,,,,,,
,,"repairing pond, pool, hot tub",turning on/off the hot tub,,,,,,,,,,,,,,,,,,,,,,
,,winterizing pool,,,,,,,,,,,,,,,,,,,,,,,
020599,"Lawn and garden, n.e.c.* ",,,,,,,,,,,,,,,,,,,,,,,,
020601,Care for animals and pets (not veterinary care),,,,,,,,,,,,,,,,,,,,,,,,
,,caring for household pets,feeding rabbit,,,,,,,,,,,,,,,,,,,,,,
,,cleaning up after pets ,feeding birds,,,,,,,,,,,,,,,,,,,,,,
,,watching kittens/puppies being born,grooming pets,,,,,,,,,,,,,,,,,,,,,,
,,feeding/watering pets ,feeding fish,,,,,,,,,,,,,,,,,,,,,,
,,petting animals,grooming horse,,,,,,,,,,,,,,,,,,,,,,
,,clipping cat's claws,feeding guinea pig,,,,,,,,,,,,,,,,,,,,,,
,,adopting a pet,brushing dog,,,,,,,,,,,,,,,,,,,,,,
,,visiting an animal shelter to select pet,tending a wounded bird,,,,,,,,,,,,,,,,,,,,,,
,,clipping dog's nails,feeding a stray ,,,,,,,,,,,,,,,,,,,,,,
,,cleaning the litter box,feeding a raccoon,,,,,,,,,,,,,,,,,,,,,,
,,providing medical care to pets ,caring for an orphaned animal,,,,,,,,,,,,,,,,,,,,,,
,,burying animals,nursing a sick animal,,,,,,,,,,,,,,,,,,,,,,
,,feeding ducks,feeding squirrels,,,,,,,,,,,,,,,,,,,,,,
,,feeding the dog,feeding cat,,,,,,,,,,,,,,,,,,,,,,
,,bathing dog,filling the bird feeder,,,,,,,,,,,,,,,,,,,,,,
,,changing dog's water,feeding horses,,,,,,,,,,,,,,,,,,,,,,
020602,Walking / exercising / playing with animals,,,,,,,,,,,,,,,,,,,,,,,,
,,exercising pets ,playing with animals,,,,,,,,,,,,,,,,,,,,,,
,,taking pets for a walk,playing with the dog,,,,,,,,,,,,,,,,,,,,,,
,,walking the dog,,,,,,,,,,,,,,,,,,,,,,,
020699,"Pet and animal care, n.e.c.*",,,,,,,,,,,,,,,,,,,,,,,,
020701,Vehicle repair and maintenance (by self),,,,,,,,,,,,,,,,,,,,,,,,
,,changing oil,changing wheel on motorcycle,,,,,,,,,,,,,,,,,,,,,,
,,adding oil,putting new chain on bicycle,,,,,,,,,,,,,,,,,,,,,,
,,putting air in tires,filling brake fluid,,,,,,,,,,,,,,,,,,,,,,
,,charging battery,checking battery,,,,,,,,,,,,,,,,,,,,,,
,,filling radiator,restoring car,,,,,,,,,,,,,,,,,,,,,,
,,changing spark plugs,checking tire pressure,,,,,,,,,,,,,,,,,,,,,,
,,washing/waxing cars or other vehicles,cleaning boat,,,,,,,,,,,,,,,,,,,,,,
,,replacing vehicle headlights,fixing bike,,,,,,,,,,,,,,,,,,,,,,
,,putting protective cover on vehicle,fixing motorcycle,,,,,,,,,,,,,,,,,,,,,,
,,scraping ice/snow off vehicle,cleaning/vacuuming vehicles,,,,,,,,,,,,,,,,,,,,,,
,,checking fluids,replacing vehicle taillights,,,,,,,,,,,,,,,,,,,,,,
,,changing/rotating tires,installing car CD player,,,,,,,,,,,,,,,,,,,,,,
,,replacing brakes,putting on registration stickers,,,,,,,,,,,,,,,,,,,,,,
,,adding equipment to vehicles,putting car/vehicle in garage,,,,,,,,,,,,,,,,,,,,,,
,,installing car stereo/speakers,checking tires,,,,,,,,,,,,,,,,,,,,,,
,,putting on license plates/tags,assembling bicycle,,,,,,,,,,,,,,,,,,,,,,
,,overhauling engine,rebuilding engine,,,,,,,,,,,,,,,,,,,,,,
,,doing a ring job,covering boat,,,,,,,,,,,,,,,,,,,,,,
,,doing a valve job,installing a trailer hitch,,,,,,,,,,,,,,,,,,,,,,
,,tuning up vehicles,hooking up trailer to car/truck,,,,,,,,,,,,,,,,,,,,,,
,,cleaning camper/RV,winterizing boat,,,,,,,,,,,,,,,,,,,,,,
,,checking to make sure car was locked,,,,,,,,,,,,,,,,,,,,,,,
020799,"Vehicles, n.e.c.*",,,,,,,,,,,,,,,,,,,,,,,,
020801,"Appliance, tool, and toy set-up, repair, & maintenance (by self)",,,,,,,,,,,,,,,,,,,,,,,,
,,fixing household camera,installing a printer,,,,,,,,,,,,,,,,,,,,,,
,,setting up or fixing computer,installing a scanner,,,,,,,,,,,,,,,,,,,,,,
,,changing batteries in appliances,installing a modem,,,,,,,,,,,,,,,,,,,,,,
,,setting/winding clocks,installing a fax machine,,,,,,,,,,,,,,,,,,,,,,
,,repairing toys,connecting washing machine/dryer,,,,,,,,,,,,,,,,,,,,,,
,,installing appliances,maintaining tools and equipment,,,,,,,,,,,,,,,,,,,,,,
,,repairing appliances,charging batteries,,,,,,,,,,,,,,,,,,,,,,
,,"hooking up stereo, VCR",loading software on computer,,,,,,,,,,,,,,,,,,,,,,
,,cleaning tools and equipment,waxing skis,,,,,,,,,,,,,,,,,,,,,,
,,repairing tools & equipment,restringing tennis racket,,,,,,,,,,,,,,,,,,,,,,
,,sharpening knives/other tools,repairing sporting equipment,,,,,,,,,,,,,,,,,,,,,,
,,cleaning/oiling lawnmowers,setting up doll house,,,,,,,,,,,,,,,,,,,,,,
,,setting up toy train track,installing heating or A/C equipment,,,,,,,,,,,,,,,,,,,,,,
,,hooking up satellite dish,,,,,,,,,,,,,,,,,,,,,,,
020899,"Appliances and tools, n.e.c.*",,,,,,,,,,,,,,,,,,,,,,,,
020901,Financial management,,,,,,,,,,,,,,,,,,,,,,,,
,,paying the rent/mortgage/bills,writing checks,,,,,,,,,,,,,,,,,,,,,,
,,using computer to pay bills,filing receipts,,,,,,,,,,,,,,,,,,,,,,
,,making a budget/using computer to keep budget,filling out tax forms,,,,,,,,,,,,,,,,,,,,,,
,,balancing the checkbook/checking receipts against bank statements,giving money to hh child or hh adult,,,,,,,,,,,,,,,,,,,,,,
,,checking/trading/buying/selling stocks,borrowing/lending money (not banking),,,,,,,,,,,,,,,,,,,,,,
,,researching investments,looking at bills,,,,,,,,,,,,,,,,,,,,,,
020902,Household & personal organization and planning,,,,,,,,,,,,,,,,,,,,,,,,
,,making shopping lists,unpacking/packing recreational vehicle for trip,,,,,,,,,,,,,,,,,,,,,,
,,assigning chores,organizing file cabinet,,,,,,,,,,,,,,,,,,,,,,
,,getting organized for work (for self),making photocopies (for self or hh),,,,,,,,,,,,,,,,,,,,,,
,,organizing/planning hh parties or hh events,unloading groceries/shopping items,,,,,,,,,,,,,,,,,,,,,,
,,planning vacation/household trip,putting pictures in albums,,,,,,,,,,,,,,,,,,,,,,
,,planning household meals/menu,labeling videos,,,,,,,,,,,,,,,,,,,,,,
,,looking for misplaced items,organizing boxes in garage,,,,,,,,,,,,,,,,,,,,,,
,,borrowing/lending household items,unpacking/packing car for trip,,,,,,,,,,,,,,,,,,,,,,
,,carrying in groceries,packing boxes for household move or trip,,,,,,,,,,,,,,,,,,,,,,
,,sorting/doing/filling out paperwork,unwrapping/opening packages,,,,,,,,,,,,,,,,,,,,,,
,,sorting books/sorting household items,packing/unpacking bags or suitcase (for self),,,,,,,,,,,,,,,,,,,,,,
,,filling a Christmas stocking/Easter basket,organizing school stuff (for self) ,,,,,,,,,,,,,,,,,,,,,,
,,opening presents/gifts (alone),wrapping presents,,,,,,,,,,,,,,,,,,,,,,
,,Loading/unloading the car,dropping off/picking up household items,,,,,,,,,,,,,,,,,,,,,,
,,looking at store purchases,making dinner reservations,,,,,,,,,,,,,,,,,,,,,,
,,making reservations,,,,,,,,,,,,,,,,,,,,,,,
020903,HH & personal mail & messages (except e-mail),,,,,,,,,,,,,,,,,,,,,,,,
,,"mailing letters, payments",collecting mail/reading mail,,,,,,,,,,,,,,,,,,,,,,
,,checking phone messages,writing Valentines/Christmas cards,,,,,,,,,,,,,,,,,,,,,,
,,sending reg./cert. packages/mail/express mail,mailing/picking up letters or packages,,,,,,,,,,,,,,,,,,,,,,
,,bringing in newspaper/mail,throwing away junk mail,,,,,,,,,,,,,,,,,,,,,,
,,writing letters/cards (personal or hh),signing for certified mail,,,,,,,,,,,,,,,,,,,,,,
,,looking at/checking/sorting mail,addressing holiday cards,,,,,,,,,,,,,,,,,,,,,,
,,checking to see if mail came/getting mail in,,,,,,,,,,,,,,,,,,,,,,,
020904,HH & personal e-mail and messages,,,,,,,,,,,,,,,,,,,,,,,,
,,reading/sending e-mail (personal or hh),cleaning out e-mail inbox (personal or hh),,,,,,,,,,,,,,,,,,,,,,
,,instant messaging (personal),reading/sending e-mail (unspecified),,,,,,,,,,,,,,,,,,,,,,
,,checking e-mail (personal or hh),,,,,,,,,,,,,,,,,,,,,,,
020905,Home security,,,,,,,,,,,,,,,,,,,,,,,,
,,installing/maintaining smoke detectors,maintaining alarms/security systems,,,,,,,,,,,,,,,,,,,,,,
,,checking/changing locks,breaking into home if locked out,,,,,,,,,,,,,,,,,,,,,,
,,setting security alarm/installing alarms,closing house up,,,,,,,,,,,,,,,,,,,,,,
,,"locking doors, windows/turning out the lights",closing the blinds/curtains,,,,,,,,,,,,,,,,,,,,,,
,,breaking into a locked house,locking up the house/locking up home,,,,,,,,,,,,,,,,,,,,,,
,,bolting doors/windows,,,,,,,,,,,,,,,,,,,,,,,
020999,"Household management, n.e.c.*",,,,,,,,,,,,,,,,,,,,,,,,
029999,"Household activities, n.e.c.*",,,,,,,,,,,,,,,,,,,,,,,,
,,household emergency,putting out a kitchen fire,,,,,,,,,,,,,,,,,,,,,,
,,household accident,,,,,,,,,,,,,,,,,,,,,,,
030101,Physical care for hh children,,,,,,,,,,,,,,,,,,,,,,,,
,,dressing/bathing hh child,feeding hh child,,,,,,,,,,,,,,,,,,,,,,
,,changing hh child's diapers,cutting hh child's hair,,,,,,,,,,,,,,,,,,,,,,
,,helping hh child get dressed/brush teeth/bathe,preparing a shower for a hh child,,,,,,,,,,,,,,,,,,,,,,
,,breastfeeding/nursing hh baby,soothing hh child/baby,,,,,,,,,,,,,,,,,,,,,,
,,laying out clothes for hh child,tucking in hh child,,,,,,,,,,,,,,,,,,,,,,
,,giving hh child a bottle,getting hh child up,,,,,,,,,,,,,,,,,,,,,,
,,getting hh child ready to go somewhere,Helping hh child feed him/herself,,,,,,,,,,,,,,,,,,,,,,
,,waking hh child ,helping hh child use the bathroom,,,,,,,,,,,,,,,,,,,,,,
,,getting hh child ready for bed,drawing a bath for a hh child,,,,,,,,,,,,,,,,,,,,,,
,,putting hh child to bed,giving hh child a bath,,,,,,,,,,,,,,,,,,,,,,
,,rocking/cuddling/holding hh child,getting hh child ready for school,,,,,,,,,,,,,,,,,,,,,,
,,carrying hh child/baby ,,,,,,,,,,,,,,,,,,,,,,,
030102,Reading to/with hh children,,,,,,,,,,,,,,,,,,,,,,,,
,,reading to or with hh child,helping hh child read,,,,,,,,,,,,,,,,,,,,,,
,,listening to a hh child read,teaching hh child to read,,,,,,,,,,,,,,,,,,,,,,
